,price
312,169900
313,170000
314,160000
315,220000
316,179781
317,174000
318,269500
319,214900
320,202900
321,378500
322,169000
323,173500
324,139000
325,166500
326,83500
327,119500
328,85000
329,76000
330,75500
331,88250
332,85500
333,130000
334,157900
335,149900
336,159000
337,136000
338,161000
339,285000
340,231000
341,124500
342,157000
343,345000
344,189500
345,270000
346,189000
347,377500
348,168500
349,375000
350,278000
351,240000
352,239500
353,177500
354,185000
355,191000
356,178000
357,185000
358,181316
359,166000
360,178000
361,174000
362,173000
363,225000
364,180500
365,187500
366,501837
367,372500
368,260000
369,185000
370,260000
371,181000
372,82500
373,215000
374,154000
375,200000
376,249000
377,187500
378,184000
379,278000
380,157000
381,152000
382,197500
383,240900
384,263435
385,220000
386,235000
387,213000
388,167900
389,158000
390,165000
391,158000
392,136000
393,148500
394,156000
395,128000
396,143000
397,76500
398,120500
399,124500
400,97000
401,130000
402,111000
403,125000
404,112000
405,97000
406,118000
407,119500
408,143750
409,146000
410,148500
411,123000
412,147000
413,137900
414,147000
415,148500
416,138000
417,128500
418,100000
419,148800
420,337500
421,462000
422,485000
423,555000
424,325000
425,256300
426,253293
427,398800
428,335000
429,404000
430,402861
431,451950
432,610000
433,582933
434,360000
435,296000
436,409900
437,255500
438,335000
439,274900
440,300000
441,324000
442,350000
443,280000
444,284000
445,269500
446,233170
447,386250
448,445000
449,290000
450,255900
451,213000
452,196000
453,184500
454,212500
455,230000
456,552000
457,382500
458,320000
459,248500
460,286500
461,254000
462,173000
463,173000
464,184000
465,167800
466,174000
467,174000
468,174000
469,175900
470,192500
471,181000
472,180000
473,160200
474,188500
475,200000
476,170000
477,189500
478,184100
479,195500
480,192000
481,178000
482,207500
483,236000
484,257500
485,244000
486,167000
487,179000
488,190000
489,156000
490,245000
491,181000
492,214000
493,168000
494,337000
495,403000
496,327000
497,340000
498,336000
499,265000
500,315000
501,260000
502,260000
503,263550
504,402000
505,248000
506,244600
507,275000
508,257500
509,287090
510,275500
511,245000
512,253000
513,468000
514,252678
515,210000
516,208300
517,225000
518,229456
519,229800
520,250000
521,370878
522,238500
523,310000
524,270000
525,252000
526,241000
527,264500
528,291000
529,263000
530,185000
531,234500
532,209000
533,159000
534,152000
535,143500
536,193000
537,203000
538,184900
539,159000
540,142000
541,153000
542,224243
543,220000
544,257000
545,189000
546,171500
547,120000
548,145000
549,184000
550,162000
551,160000
552,82000
553,76000
554,110000
555,135000
556,141000
557,122000
558,124100
559,129000
560,131400
561,62383
562,123000
563,275000
564,235000
565,280750
566,164500
567,173733
568,222000
569,195000
570,172500
571,180000
572,156000
573,172500
574,318750
575,211500
576,241600
577,180500
578,150000
579,154000
580,185000
581,185750
582,200000
583,206000
584,162000
585,256900
586,197900
587,163000
588,113000
589,230000
590,167900
591,213250
592,227000
593,130000
594,143000
595,117500
596,168500
597,172500
598,161500
599,141500
600,118000
601,127500
602,140000
603,177625
604,110000
605,167000
606,153000
607,145100
608,154000
609,177500
610,158000
611,124500
612,174500
613,122000
614,82500
615,110000
616,149500
617,175000
618,167000
619,128900
620,140000
621,147000
622,124000
623,187500
624,159000
625,256000
626,205000
627,193500
628,110000
629,104900
630,150000
631,156500
632,176000
633,149500
634,139000
635,155000
636,120000
637,153000
638,144000
639,176000
640,153000
641,135000
642,131000
643,123000
644,126000
645,115000
646,164900
647,113000
648,145500
649,102900
650,95000
651,152500
652,129900
653,132000
654,99900
655,135000
656,149000
657,114000
658,109500
659,125000
660,142900
661,156500
662,59000
663,105000
664,106000
665,78500
666,190000
667,154000
668,163000
669,200000
670,143500
671,135000
672,153000
673,157500
674,113500
675,133000
676,92900
677,128500
678,90000
679,138000
680,128000
681,139000
682,118900
683,138000
684,132500
685,133500
686,135000
687,144750
688,145000
689,127000
690,109500
691,115000
692,110000
693,128900
694,103500
695,66500
696,130000
697,129000
698,150000
699,107500
700,94550
701,124500
702,135000
703,103000
704,93000
705,129500
706,93000
707,80000
708,45000
709,37900
710,91300
711,99500
712,113000
713,87500
714,110000
715,106000
716,265979
717,160000
718,119000
719,168000
720,58500
721,143000
722,85000
723,124900
724,119000
725,146500
726,34900
727,44000
728,223500
729,149000
730,205000
731,137000
732,121000
733,128000
734,134900
735,117000
736,132500
737,93000
738,119000
739,100000
740,141500
741,133000
742,60000
743,105000
744,115000
745,150000
746,126500
747,214500
748,167500
749,155000
750,155000
751,179900
752,104000
753,62500
754,149000
755,103000
756,123000
757,97500
758,135000
759,70000
760,116000
761,88750
762,179000
763,179000
764,159900
765,61000
766,103600
767,63000
768,175000
769,139000
770,172500
771,113500
772,130000
773,149900
774,134900
775,137000
776,139000
777,165000
778,148000
779,165000
780,63900
781,161500
782,143000
783,135000
784,82500
785,190000
786,139600
787,122000
788,127500
789,121500
790,60000
791,154400
792,113000
793,125000
794,84000
795,139500
796,131000
797,105000
798,108000
799,162000
800,156500
801,316600
802,271900
803,213000
804,239900
805,239500
806,131000
807,118964
808,153337
809,147983
810,118858
811,118858
812,142953
813,148325
814,113722
815,269500
816,269500
817,269500
818,323262
819,297000
820,295493
821,332000
822,239900
823,212000
824,272500
825,239000
826,220000
827,200000
828,221800
829,194500
830,237000
831,173000
832,275000
833,233500
834,185000
835,152000
836,143000
837,231500
838,212000
839,207000
840,145000
841,138000
842,197900
843,204000
844,192000
845,200000
846,195000
847,227000
848,230000
849,187100
850,203000
851,201000
852,124000
853,140000
854,134900
855,150500
856,136500
857,143500
858,133500
859,123000
860,133900
861,133000
862,250000
863,254750
864,236500
865,261500
866,313000
867,198500
868,211000
869,220000
870,203000
871,279500
872,210000
873,219500
874,191000
875,178000
876,213000
877,144000
878,140000
879,293200
880,190000
881,190000
882,173500
883,170000
884,108000
885,167000
886,100000
887,198500
888,159500
889,127000
890,125000
891,320000
892,145500
893,118000
894,85000
895,120000
896,98000
897,99900
898,82000
899,119900
900,103500
901,112000
902,110000
903,122000
904,117000
905,160000
906,159434
907,60000
908,139500
909,197000
910,105000
911,135000
912,147500
913,137450
914,155000
915,177000
916,145000
917,137000
918,234000
919,205000
920,177500
921,160000
922,155000
923,163500
924,154900
925,205000
926,144800
927,174500
928,193000
929,158000
930,158500
931,224000
932,115000
933,137000
934,121000
935,124000
936,208000
937,315000
938,222000
939,147000
940,123000
941,78000
942,85000
943,75000
944,230000
945,57625
946,251000
947,239686
948,240000
949,215000
950,156450
951,173000
952,126000
953,173000
954,152000
955,137500
956,375000
957,315500
958,224500
959,410000
960,316500
961,201000
962,175000
963,204000
964,213500
965,220000
966,170000
967,315000
968,425000
969,139500
970,115000
971,162000
972,165000
973,91000
974,130000
975,86000
976,160000
977,80000
978,97000
979,88000
980,131900
981,131250
982,165500
983,112000
984,149000
985,143000
986,130000
987,196000
988,173000
989,176500
990,237500
991,206900
992,187500
993,165000
994,195500
995,192000
996,173000
997,177900
998,175000
999,286000
1000,247900
1001,180000
1002,180000
1003,181000
1004,183000
1005,188000
1006,194500
1007,185000
1008,189000
1009,188500
1010,355000
1011,325000
1012,387000
1013,115000
1014,334000
1015,133000
1016,215000
1017,226500
1018,175500
1019,181900
1020,235000
1021,220000
1022,272000
1023,161000
1024,175000
1025,185000
1026,146900
1027,292500
1028,180000
1029,159900
1030,205000
1031,157000
1032,306000
1033,133000
1034,151000
1035,111900
1036,123000
1037,111250
1038,181000
1039,103400
1040,100000
1041,100500
1042,106000
1043,85400
1044,89500
1045,111750
1046,140000
1047,143000
1048,148500
1049,110000
1050,394617
1051,426000
1052,385000
1053,446261
1054,317500
1055,372402
1056,417500
1057,383000
1058,390000
1059,460000
1060,379000
1061,250000
1062,316000
1063,615000
1064,412500
1065,284000
1066,284000
1067,421250
1068,370000
1069,336860
1070,367294
1071,192000
1072,274000
1073,266000
1074,370967
1075,234250
1076,219500
1077,155000
1078,154000
1079,207000
1080,195000
1081,219990
1082,191000
1083,159895
1084,187687
1085,179000
1086,193000
1087,190000
1088,176000
1089,188000
1090,213000
1091,217300
1092,186500
1093,226750
1094,184000
1095,176000
1096,225000
1097,185900
1098,284500
1099,315000
1100,250000
1101,291000
1102,350000
1103,279500
1104,290000
1105,350000
1106,341000
1107,287500
1108,271000
1109,301500
1110,235128
1111,214000
1112,232000
1113,240000
1114,264132
1115,245000
1116,227680
1117,257000
1118,297900
1119,247000
1120,212700
1121,250580
1122,182000
1123,226700
1124,250000
1125,250000
1126,339750
1127,205950
1128,256000
1129,230348
1130,207500
1131,141000
1132,188000
1133,192500
1134,146000
1135,159000
1136,155000
1137,173000
1138,170000
1139,182000
1140,163000
1141,193500
1142,189000
1143,190500
1144,175000
1145,179200
1146,187000
1147,193000
1148,153900
1149,128000
1150,144000
1151,135000
1152,115000
1153,119916
1154,142000
1155,192000
1156,140000
1157,290000
1158,372500
1159,196000
1160,171900
1161,178000
1162,165000
1163,146000
1164,146000
1165,179400
1166,172900
1167,300000
1168,285000
1169,290000
1170,305000
1171,328900
1172,160000
1173,170000
1174,223000
1175,170000
1176,200000
1177,345000
1178,245500
1179,217500
1180,324000
1181,162500
1182,150000
1183,290000
1184,205000
1185,174000
1186,183000
1187,150000
1188,145000
1189,215000
1190,140500
1191,240000
1192,141000
1193,147000
1194,135000
1195,145000
1196,142600
1197,135000
1198,170000
1199,299800
1200,185000
1201,173000
1202,178400
1203,176000
1204,98000
1205,109008
1206,135750
1207,155000
1208,180500
1209,174900
1210,140000
1211,145000
1212,179900
1213,168500
1214,140000
1215,145500
1216,142000
1217,141000
1218,153000
1219,72500
1220,52000
1221,118000
1222,87000
1223,141500
1224,119000
1225,141500
1226,165500
1227,112900
1228,201800
1229,163000
1230,139950
1231,174000
1232,165000
1233,227000
1234,135000
1235,124000
1236,140000
1237,136500
1238,185000
1239,163000
1240,166800
1241,139000
1242,166000
1243,136000
1244,133000
1245,116000
1246,137500
1247,130000
1248,180000
1249,139000
1250,110000
1251,100000
1252,118500
1253,146000
1254,89900
1255,114000
1256,140000
1257,86900
1258,139000
1259,106250
1260,171000
1261,139000
1262,186000
1263,157000
1264,148000
1265,242000
1266,116000
1267,94000
1268,98300
1269,127000
1270,159000
1271,125900
1272,155000
1273,138000
1274,112500
1275,105500
1276,127500
1277,130000
1278,150000
1279,109500
1280,140000
1281,167900
1282,136870
1283,143000
1284,73000
1285,157500
1286,122600
1287,111000
1288,256000
1289,64000
1290,139500
1291,118000
1292,200000
1293,119164
1294,122250
1295,120000
1296,155000
1297,78000
1298,95000
1299,115000
1300,147000
1301,140000
1302,46500
1303,112500
1304,107900
1305,65000
1306,295000
1307,139500
1308,153900
1309,132000
1310,98000
1311,114000
1312,130000
1313,129500
1314,129400
1315,161000
1316,163000
1317,128000
1318,122000
1319,116900
1320,325000
1321,55000
1322,184000
1323,110000
1324,131500
1325,97000
1326,115500
1327,138000
1328,108000
1329,79500
1330,153000
1331,109500
1332,124000
1333,106900
1334,164900
1335,119000
1336,120000
1337,157000
1338,105000
1339,113000
1340,115000
1341,79000
1342,123000
1343,81300
1344,162900
1345,150000
1346,123500
1347,129900
1348,128000
1349,68500
1350,127000
1351,207000
1352,184000
1353,162500
1354,145000
1355,130000
1356,160000
1357,161000
1358,127500
1359,93850
1360,136000
1361,141000
1362,120000
1363,127500
1364,127000
1365,89500
1366,125000
1367,79900
1368,85000
1369,82375
1370,135000
1371,124000
1372,134000
1373,135000
1374,134432
1375,127500
1376,148000
1377,129500
1378,157500
1379,109900
1380,145000
1381,130000
1382,153000
1383,120000
1384,152000
1385,108959
1386,95541
1387,80000
1388,149350
1389,144900
1390,185000
1391,165000
1392,235000
1393,140000
1394,108000
1395,145000
1396,152400
1397,144000
1398,173000
1399,192000
1400,245000
1401,241500
1402,256000
1403,177000
1404,125600
1405,155000
1406,240000
1407,260000
1408,185000
1409,235000
1410,159900
1411,99600
1412,134500
1413,119000
1414,107500
1415,125000
1416,79000
1417,95000
1418,262280
1419,260000
1420,226500
1421,225000
1422,229000
1423,177439
1424,248500
1425,475000
1426,395039
1427,228000
1428,225000
1429,195000
1430,200000
1431,155000
1432,144000
1433,145000
1434,226001
1435,215700
1436,207500
1437,193000
1438,188000
1439,191000
1440,221000
1441,231500
1442,235000
1443,223500
1444,130250
1445,149900
1446,158000
1447,147000
1448,143195
1449,163000
1450,110000
1451,127000
1452,124900
1453,230000
1454,237000
1455,235000
1456,230500
1457,230000
1458,222500
1459,287000
1460,274000
1461,300000
1462,255900
1463,224900
1464,240000
1465,183000
1466,207000
1467,210000
1468,136500
1469,145000
1470,208900
1471,185000
1472,214000
1473,208500
1474,186500
1475,210000
1476,185900
1477,179900
1478,218836
1479,193000
1480,189000
1481,149300
1482,141000
1483,149000
1484,144500
1485,85000
1486,145900
1487,123000
1488,147500
1489,165000
1490,135000
1491,108000
1492,137500
1493,165400
1494,147000
1495,160500
1496,176000
1497,284700
1498,160000
1499,148000
1500,82000
1501,82000
1502,118000
1503,82500
1504,91900
1505,120000
1506,96000
1507,99000
1508,130500
1509,135000
1510,135500
1511,100000
1512,108000
1513,98000
1514,67000
1515,135900
1516,140000
1517,179500
1518,136500
1519,168000
1520,130000
1521,189000
1522,161900
1523,145000
1524,191000
1525,177000
1526,147500
1527,91000
1528,231000
1529,115000
1530,138000
1531,149000
1532,188700
1533,198000
1534,110000
1535,104000
1536,257076
1537,381000
1538,311500
1539,263400
1540,236500
1541,224000
1542,116500
1543,151000
1544,126000
1545,120000
1546,55000
1547,120500
1548,120500
1549,119000
1550,126000
1551,99500
1552,165500
1553,13100
1554,89000
1555,40000
1556,80900
1557,81000
1558,65000
1559,392500
1560,294464
1561,250000
1562,275000
1563,300000
1564,271000
1565,213000
1566,171000
1567,171500
1568,100000
1569,228500
1570,228950
1571,241500
1572,287000
1573,294000
1574,293077
1575,264966
1576,172500
1577,167500
1578,218689
1579,150000
1580,184000
1581,180000
1582,175000
1583,232500
1584,195000
1585,305000
1586,298751
1587,370000
1588,209200
1589,206300
1590,146000
1591,160500
1592,173000
1593,124000
1594,115000
1595,129500
1596,105000
1597,94900
1598,152500
1599,98000
1600,81000
1601,113000
1602,128500
1603,119500
1604,130500
1605,138000
1606,134500
1607,160000
1608,137500
1609,172000
1610,103000
1611,167300
1612,167000
1613,244000
1614,268000
1615,225000
1616,168000
1617,177000
1618,169000
1619,161500
1620,251000
1621,160000
1622,180000
1623,178750
1624,176000
1625,204000
1626,160000
1627,160000
1628,163900
1629,168000
1630,154204
1631,170000
1632,207500
1633,182000
1634,212000
1635,377426
1636,349265
1637,591587
1638,155000
1639,319900
1640,392000
1641,441929
1642,455000
1643,182900
1644,174000
1645,178000
1646,176000
1647,213000
1648,192000
1649,190000
1650,195000
1651,148000
1652,151500
1653,197000
1654,192350
1655,152000
1656,170000
1657,175000
1658,175000
1659,197900
1660,174000
1661,178900
1662,139000
1663,143250
1664,184000
1665,155000
1666,133000
1667,119500
1668,123000
1669,110000
1670,128000
1671,120500
1672,133000
1673,155000
1674,177000
1675,113500
1676,113000
1677,113700
1678,106000
1679,122500
1680,128000
1681,155000
1682,142500
1683,129250
1684,356000
1685,314813
1686,318000
1687,322400
1688,318000
1689,345474
1690,415298
1691,492000
1692,338931
1693,450000
1694,280000
1695,479069
1696,395000
1697,380000
1698,250000
1699,440000
1700,418000
1701,500067
1702,260116
1703,317000
1704,319500
1705,325624
1706,372000
1707,342000
1708,354000
1709,350000
1710,285000
1711,281500
1712,245700
1713,232698
1714,250000
1715,194700
1716,204000
1717,200000
1718,207000
1719,209500
1720,209500
1721,202500
1722,280000
1723,277500
1724,318061
1725,221370
1726,200000
1727,181755
1728,176000
1729,178900
1730,168165
1731,171925
1732,198444
1733,203000
1734,179540
1735,176485
1736,181134
1737,156932
1738,166000
1739,177594
1740,173500
1741,172500
1742,194201
1743,226500
1744,185485
1745,259000
1746,188500
1747,175000
1748,215000
1749,206580
1750,183500
1751,165500
1752,211000
1753,181000
1754,219500
1755,175000
1756,170000
1757,162000
1758,187000
1759,185000
1760,745000
1761,384500
1762,248000
1763,466500
1764,410000
1765,322500
1766,252000
1767,755000
1768,269790
1769,315750
1770,290000
1771,290000
1772,430000
1773,263000
1774,330000
1775,213133
1776,260261
1777,320000
1778,282922
1779,215000
1780,419005
1781,255000
1782,147000
1783,235876
1784,311872
1785,248328
1786,227000
1787,260000
1788,225000
1789,249000
1790,307000
1791,250000
1792,221300
1793,208900
1794,210400
1795,255000
1796,212109
1797,270000
1798,303477
1799,310013
1800,249700
1801,227875
1802,261329
1803,253000
1804,265000
1805,340000
1806,146000
1807,147000
1808,149000
1809,181000
1810,201000
1811,191750
1812,179000
1813,215000
1814,179200
1815,128000
1816,144000
1817,144000
1818,120750
1819,132500
1820,132000
1821,132500
1822,129000
1823,143900
1824,145000
1825,128500
1826,125500
1827,300000
1828,294000
1829,129000
1830,171000
1831,147000
1832,302000
1833,285000
1834,214000
1835,166000
1836,193800
1837,208900
1838,194000
1839,207500
1840,199900
1841,164700
1842,176500
1843,176000
1844,168500
1845,177000
1846,177000
1847,148800
1848,174000
1849,239000
1850,204000
1851,301000
1852,312500
1853,279700
1854,255000
1855,194000
1856,218000
1857,213750
1858,187000
1859,181500
1860,373000
1861,190000
1862,226000
1863,143450
1864,240050
1865,162500
1866,164000
1867,185000
1868,188500
1869,255000
1870,136905
1871,158500
1872,175500
1873,127000
1874,127000
1875,143000
1876,156000
1877,144000
1878,119000
1879,103000
1880,139900
1881,151500
1882,126500
1883,145000
1884,120000
1885,124000
1886,106500
1887,140500
1888,137500
1889,117600
1890,163500
1891,161000
1892,158000
1893,224500
1894,147000
1895,200000
1896,181900
1897,150750
1898,101800
1899,124000
1900,138500
1901,39300
1902,64500
1903,64000
1904,112000
1905,165000
1906,144000
1907,137000
1908,105000
1909,146500
1910,126000
1911,175000
1912,158500
1913,114500
1914,144000
1915,129000
1916,141000
1917,131000
1918,142100
1919,139000
1920,157900
1921,139400
1922,150000
1923,120000
1924,174850
1925,116000
1926,135000
1927,163500
1928,130000
1929,129500
1930,142000
1931,128600
1932,125000
1933,136000
1934,134500
1935,127000
1936,130000
1937,115000
1938,116900
1939,132000
1940,153000
1941,112500
1942,138000
1943,135000
1944,156000
1945,301600
1946,109000
1947,103200
1948,128500
1949,64500
1950,148000
1951,86000
1952,172000
1953,120000
1954,128500
1955,135000
1956,122900
1957,119200
1958,143000
1959,119000
1960,102000
1961,129000
1962,135000
1963,152000
1964,140000
1965,152000
1966,156500
1967,141000
1968,99000
1969,187000
1970,169500
1971,125500
1972,130000
1973,103000
1974,132000
1975,127500
1976,89500
1977,140000
1978,99900
1979,100000
1980,130000
1981,135000
1982,120000
1983,89471
1984,85000
1985,108500
1986,137000
1987,110500
1988,100000
1989,184900
1990,145000
1991,125000
1992,114000
1993,90000
1994,144100
1995,117500
1996,124500
1997,185000
1998,133900
1999,152000
2000,153500
2001,159500
2002,87000
2003,104500
2004,110000
2005,136500
2006,128250
2007,144000
2008,210000
2009,135000
2010,128000
2011,131000
2012,113000
2013,126000
2014,132000
2015,131750
2016,132500
2017,137500
2018,132000
2019,127500
2020,102000
2021,200000
2022,180500
2023,165000
2024,90000
2025,153575
2026,140000
2027,136000
2028,113000
2029,117000
2030,169500
2031,139400
2032,202500
2033,127000
2034,141000
2035,212300
2036,161000
2037,99500
2038,101000
2039,109900
2040,128500
2041,122000
2042,87000
2043,50000
2044,219000
2045,200500
2046,126000
2047,108500
2048,130000
2049,158450
2050,115400
2051,118500
2052,165000
2053,123000
2054,129000
2055,125000
2056,108000
2057,119900
2058,115000
2059,134500
2060,127000
2061,129000
2062,143500
2063,129000
2064,187000
2065,158000
2066,112000
2067,165250
2068,150000
2069,137000
2070,89500
2071,302000
2072,182000
2073,211000
2074,216000
2075,130000
2076,109900
2077,255000
2078,243000
2079,154000
2080,118000
2081,80000
2082,150000
2083,86000
2084,130000
2085,125000
2086,136500
2087,96000
2088,120000
2089,228500
2090,179900
2091,225000
2092,301000
2093,238000
2094,228500
2095,220000
2096,383970
2097,424870
2098,250000
2099,360000
2100,279500
2101,200141
2102,246500
2103,276000
2104,203000
2105,155835
2106,194000
2107,195400
2108,217000
2109,212999
2110,175900
2111,191000
2112,176432
2113,277000
2114,207000
2115,277000
2116,240000
2117,187500
2118,279000
2119,139500
2120,126000
2121,177500
2122,175000
2123,211000
2124,146000
2125,147900
2126,123600
2127,204750
2128,235500
2129,217000
2130,190550
2131,217500
2132,226000
2133,180000
2134,131000
2135,153500
2136,160000
2137,134900
2138,130000
2139,120000
2140,112500
2141,122000
2142,127000
2143,117000
2144,305900
2145,228500
2146,270000
2147,192000
2148,213000
2149,200000
2150,267000
2151,228000
2152,275000
2153,211000
2154,285000
2155,240000
2156,131500
2157,246900
2158,219500
2159,185000
2160,179400
2161,213500
2162,179600
2163,173500
2164,167840
2165,168675
2166,167000
2167,140000
2168,118500
2169,110000
2170,94750
2171,122000
2172,110000
2173,118500
2174,133500
2175,148000
2176,141000
2177,155000
2178,157000
2179,171500
2180,183850
2181,184750
2182,140000
2183,131750
2184,61500
2185,111000
2186,98500
2187,79000
2188,108500
2189,110000
2190,112000
2191,125000
2192,79275
2193,119000
2194,200000
2195,150000
2196,165000
2197,96500
2198,136500
2199,146500
2200,175000
2201,148500
2202,141500
2203,189950
2204,135000
2205,164000
2206,90350
2207,139000
2208,119750
2209,145000
2210,145000
2211,238000
2212,153500
2213,239000
2214,359100
2215,188000
2216,220000
2217,140000
2218,315000
2219,259500
2220,257500
2221,219500
2222,217000
2223,201000
2224,215000
2225,123900
2226,170000
2227,200000
2228,198000
2229,200624
2230,315000
2231,115000
2232,141000
2233,87000
2234,129850
2235,100000
2236,150909
2237,75200
2238,118400
2239,67000
2240,152000
2241,68104
2242,119600
2243,140000
2244,124900
2245,375000
2246,235000
2247,183500
2248,156000
2249,134000
2250,215000
2251,245000
2252,210000
2253,148000
2254,143000
2255,244000
2256,330000
2257,170000
2258,257000
2259,231713
2260,267300
2261,265900
2262,239000
2263,248900
2264,174000
2265,187500
2266,204000
2267,180500
2268,187500
2269,282000
2270,178000
2271,270000
2272,279900
2273,186700
2274,283463
2275,392000
2276,281213
2277,147000
2278,130000
2279,140000
2280,132250
2281,143000
2282,168000
2283,129900
2284,134000
2285,85500
2286,106500
2287,93900
2288,75000
2289,84500
2290,75190
2291,146800
2292,153500
2293,188000
2294,196000
2295,157000
2296,138000
2297,129500
2298,80000
2299,129500
2300,135000
2301,124500
2302,139000
2303,93500
2304,124500
2305,149900
2306,157500
2307,169000
2308,252000
2309,192100
2310,183500
2311,222000
2312,170000
2313,187500
2314,202000
2315,185000
2316,320000
2317,240000
2318,250000
2319,239900
2320,309000
2321,274725
2322,270000
2323,183500
2324,165600
2325,176500
2326,130000
2327,239000
2328,275000
2329,457347
2330,545224
2331,356383
2332,556581
2333,361919
2334,535000
2335,401179
2336,438780
2337,169000
2338,145000
2339,318000
2340,319000
2341,470000
2342,202500
2343,229000
2344,235000
2345,190000
2346,169000
2347,241500
2348,188900
2349,207500
2350,250000
2351,179900
2352,172000
2353,294323
2354,184500
2355,153500
2356,162900
2357,181000
2358,155000
2359,138800
2360,116050
2361,88000
2362,97500
2363,190000
2364,105500
2365,125500
2366,83000
2367,116000
2368,91500
2369,118000
2370,89000
2371,108000
2372,94500
2373,146300
2374,145000
2375,123000
2376,137500
2377,144000
2378,315000
2379,412083
2380,342643
2381,252000
2382,465000
2383,293000
2384,415000
2385,326000
2386,325300
2387,309000
2388,300000
2389,275500
2390,338500
2391,345000
2392,344133
2393,298236
2394,329900
2395,360000
2396,281000
2397,372397
2398,378000
2399,374000
2400,437154
2401,275000
2402,279000
2403,185850
2404,282500
2405,202500
2406,202665
2407,332200
2408,310090
2409,171750
2410,169990
2411,170440
2412,169985
2413,179665
2414,219210
2415,174190
2416,172785
2417,258000
2418,185101
2419,210250
2420,234000
2421,215000
2422,246990
2423,178740
2424,225000
2425,167240
2426,156820
2427,213490
2428,264561
2429,246578
2430,192140
2431,183200
2432,178000
2433,201490
2434,230500
2435,180000
2436,172400
2437,215000
2438,199900
2439,173000
2440,287602
2441,230000
2442,348000
2443,286000
2444,300000
2445,625000
2446,405000
2447,280000
2448,258000
2449,350000
2450,584500
2451,321000
2452,290000
2453,315000
2454,252000
2455,336820
2456,423000
2457,290000
2458,232000
2459,199000
2460,198600
2461,405749
2462,232600
2463,266000
2464,186500
2465,200825
2466,197000
2467,185000
2468,176000
2469,187750
2470,139500
2471,186800
2472,132000
2473,142500
2474,158000
2475,184000
2476,184900
2477,187000
2478,175900
2479,248500
2480,172000
2481,151000
2482,150000
2483,107000
2484,119900
2485,129500
2486,125000
2487,119500
2488,144000
2489,151000
2490,126000
2491,116000
2492,133500
2493,120875
2494,137000
2495,124000
2496,135000
2497,129200
2498,260000
